,0
tcp,79946
udp,63283
unas,12084
arp,2859
ospf,2595
sctp,1150
any,300
gre,225
sun-nd,201
ipv6,201
mobile,201
swipe,201
pim,201
rsvp,200
sep,193
ib,101
mtp,100
skip,100
merit-inp,100
sps,100
ptp,100
fire,100
smp,100
isis,100
pri-enc,100
srp,100
l2tp,100
stp,100
iatp,100
vrrp,100
compaq-peer,100
ddp,100
aris,100
etherip,100
scps,100
qnx,100
idpr,100
larp,100
sccopmce,100
mhrp,100
iplt,100
crudp,100
vines,100
uti,100
secure-vmtp,100
visa,100
ippc,100
ddx,100
tlsp,100
ipip,100
sdrp,100
ipx-n-ip,100
i-nlsp,100
a/n,100
tp++,100
ifmp,100
encap,100
micp,100
ipv6-frag,100
sm,100
aes-sp3-d,100
gmtp,100
eigrp,100
dgp,100
wb-mon,100
cpnx,100
kryptolan,100
wsn,100
bna,100
idrp,100
ipv6-route,100
sprite-rpc,100
3pc,100
mfe-nsp,100
pvp,100
il,100
xtp,100
iso-ip,100
wb-expak,100
cphb,100
sat-mon,100
ax.25,100
vmtp,100
ipv6-opts,100
ipcomp,100
nsfnet-igp,100
tcf,100
ttp,100
br-sat-mon,100
ipcv,100
snp,100
pnni,100
sat-expak,100
ipv6-no,100
pipe,100
fc,100
narp,100
cftp,100
rvd,100
zero,100
idpr-cmtp,100
pgm,100
xns-idp,99
dcn,99
mux,99
chaos,99
prm,99
trunk-1,99
iso-tp4,99
leaf-1,99
leaf-2,99
irtp,99
trunk-2,99
pup,99
xnet,99
cbt,99
nvp,99
st2,99
crtp,99
ggp,99
ip,99
igp,99
ipnip,99
emcon,99
argus,98
hmp,98
bbn-rcc,98
egp,98
rdp,98
netblt,98
igmp,18
icmp,15
rtp,1
